field 1,field 2
"realme P1 5G (Peacock Green, 128 GB)","₹15,999"
"Motorola G34 5G (Ocean Green, 128 GB)","₹11,999"
"SAMSUNG Galaxy F14 5G (GOAT Green, 128 GB)","₹9,490"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹9,490"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹9,490"
"POCO M6 Pro 5G (Power Black, 128 GB)","₹9,999"
"Motorola G34 5G (Charcoal Black, 128 GB)","₹11,999"
"POCO C65 (Pastel Blue, 128 GB)","₹6,799"
"Motorola G34 5G (Ice Blue, 128 GB)","₹11,999"
"Motorola g64 5G (Ice Lilac, 128 GB)","₹13,999"
"Motorola g04s (Satin Blue, 64 GB)","₹6,999"
"Motorola g64 5G (Mint Green, 128 GB)","₹13,999"
"POCO C65 (Pastel Green, 128 GB)","₹6,799"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)","₹18,962"
"Apple iPhone 15 (Black, 128 GB)","₹67,999"
"Motorola g64 5G (Pearl Blue, 128 GB)","₹13,999"
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)","₹17,035"
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)","₹18,788"
"POCO C65 (Matte Black, 128 GB)","₹6,799"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹14,999"
"vivo T3x 5G (Celestial Green, 128 GB)","₹13,499"
"vivo T3x 5G (Celestial Green, 128 GB)","₹16,499"
"REDMI 13C 5G (Startrail Green, 128 GB)","₹10,499"
"REDMI 13C 5G (Starlight Black, 128 GB)","₹10,499"
"Motorola g04s (Concord Black, 64 GB)","₹6,999"
"vivo T3x 5G (Celestial Green, 128 GB)","₹14,999"
"POCO C65 (Pastel Green, 128 GB)","₹7,499"
"Motorola g64 5G (Mint Green, 256 GB)","₹15,999"
"REDMI 13C (Stardust Black, 128 GB)","₹7,699"
"vivo T3x 5G (Crimson Bliss, 128 GB)","₹13,499"
"POCO C61 (Ethereal Blue, 64 GB)","₹6,499"
"Motorola Edge 50 Pro 5G with 68W Charger (Luxe Lavender, 256 GB)","₹29,999"
"Motorola g04s (Sunrise Orange, 64 GB)","₹6,999"
"Motorola g64 5G (Pearl Blue, 256 GB)","₹15,999"
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹1,849"
"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹1,849"
"REDMI 13C 5G (Startrail Silver, 128 GB)","₹10,499"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio","₹1,199"
"POCO C61 (Diamond Dust Black, 64 GB)","₹6,499"
"REDMI 13C (Starfrost White, 128 GB)","₹7,699"
"Apple iPhone 15 (Blue, 128 GB)","₹67,999"
"Nokia 105 Single SIM, Keypad Mobile Phone with Wireless FM Radio",""
"REDMI 13C (Stardust Black, 128 GB)","₹8,499"
"Motorola G34 5G (Ice Blue, 128 GB)","₹10,999"
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)","₹12,999"
"Motorola G34 5G (Ocean Green, 128 GB)","₹10,999"
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)","₹12,999"
"Motorola Edge 50 Pro 5G with 68W Charger (Black Beauty, 256 GB)","₹29,999"
"SAMSUNG Galaxy F14 5G (B.A.E. Purple, 128 GB)","₹8,990"
"Motorola G34 5G (Charcoal Black, 128 GB)","₹10,999"
"SAMSUNG Galaxy S23 FE (Mint, 128 GB)","₹36,999"
"POCO M6 5G (Orion Blue, 256 GB)","₹10,999"
"REDMI 13C (Starfrost White, 128 GB)","₹8,499"
"Nokia TA-1304/105 SS","₹1,050"
"SAMSUNG Galaxy S23 FE (Graphite, 128 GB)","₹36,999"
"REDMI 13C (Starshine Green, 128 GB)","₹8,499"
"Motorola Edge 40 Neo (Black Beauty, 128 GB)","₹22,999"
"Apple iPhone 15 (Green, 128 GB)","₹67,999"
"Motorola g64 5G (Ice Lilac, 256 GB)","₹15,999"
"realme C51 (Carbon Black, 64 GB)","₹8,999"
"SAMSUNG Galaxy F14 5G (OMG Black, 128 GB)","₹8,990"
"realme C51 (Mint Green, 128 GB)","₹9,499"
"realme C51 (Carbon Black, 128 GB)","₹9,499"
"POCO C65 (Matte Black, 128 GB)","₹7,499"
"REDMI 13C 5G (Startrail Silver, 256 GB)","₹13,999"
"realme C51 (Mint Green, 64 GB)","₹8,999"
"POCO C65 (Pastel Blue, 256 GB)","₹8,499"
"POCO C61 (Diamond Dust Black, 128 GB)","₹6,999"
"POCO M6 5G (Galactic Black, 256 GB)","₹10,999"
"REDMI 13C 5G (Starlight Black, 256 GB)","₹13,999"
"REDMI 12 5G (Pastel Blue, 128 GB)","₹11,999"
"POCO C65 (Pastel Blue, 128 GB)","₹7,499"